collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,reference_nos,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,primary_reference
13066,col,,-84.800003,34.200001,Ladd's Quarry,,Ladd's Lime Kiln,46,Late Pleistocene,,0.126,0.0117,10272,"4,346,790,692,671,020,000,000,000,000,000,000,000",paleoecologic,mechanical,,,,,,,,"The Ladds fauna has been extracted from varous fissure fills in an isolated dolomitic ridge called Ladds Mountain or Quarry Mountain in nw Georgia. The ridge, composed of Ordovician copper ridge dolomite of the Knox Group.","L Lipps and C. E. Ray. 1967. The Pleistocene fossiliferous deposit at Ladds, Bartow County, Georgia. Bulletin of the Georgia Academy of Science 25(3):113-119"
13948,col,,-97.900002,18.616667,Rancho Gerardo (Middle Unit),,,3,Pleistocene,,2.588,0.0117,6175,6175,taxonomic,field collection,,,,,,,,,M. Montellano-Ballesteros. 2002. New Cuvieronius finds from the Pleistocene of central Mexico. Journal of Paleontology 76(3):578-583
13949,col,,-97.900002,18.616667,Rancho Gerardo (Upper Unit),,,2,Pleistocene,,2.588,0.0117,6175,6175,taxonomic,field collection,,,,,,,,,M. Montellano-Ballesteros. 2002. New Cuvieronius finds from the Pleistocene of central Mexico. Journal of Paleontology 76(3):578-583
14657,col,Nacimiento,-108.199997,36.299999,Alamo Wash,,Ojo Alamo,5,Puercan,,66,63.3,3701,"305,331,223,485,370,000,000,000",,,,some genera,,,,,,,"R. W. Wilson. 1956. The condylarth genus Ellipsodon. University of Kansas Publications, Museum of Natural History 9(5):105-116"
14658,col,Denver,-104.699997,39.700001,Alexander,,UCM loc. 77267; UCM locality 77267,20,Puercan,,66,63.3,2585,"14,202,585,629,469,900,000,000,000,000,000,000,000,000",taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,,,"""mostly surface collected, however, some screenwashing"". Middleton and Dewar (2004) report fossil wood.","? ""Hemithlaeus"" = Conacodon harbourae is from UCM loc. 78169\r\n""Auraria urbana"" (unpublished genus and species names)\r\neight unpublished species listed by Middleton 1983 were finally published by Middleton and Dewar 2004 (see below)\r\n","M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14659,col,,-104.800003,38.799999,Austin Bluffs,,,1,Puercan,,66,63.3,2585,2585,,,,,,,,,,,"M. D. Middleton. 1983. Early Paleocene vertebrates of the Denver Basin, Colorado.. Boulder: University of Colorado."
14660,col,Hell Creek,-106.099998,47.799999,Bad Mouth Turtle,,UCMP V-87153 (in part),6,Puercan,,66,63.3,2255,"22,556,294",,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
14661,col,Nacimiento,-108.199997,36.299999,Barrel Spring Arroyo (Ectoconus Zone),,Coal Creek Canyon; Sinclair and Granger Loc. 2 (in part),5,Puercan,,66,63.3,3649,"11,652,248,231,936,400,000",general faunal/floral,,,some genera,,,,,,multiple records omitted by Williamson and Lucas 1993<br>identical to list 7 of Williamson 1996<br>underlies Taeniolabis Zone<br>in a normal paleomag interval that must represent chron 29N because the K-T is in a reversed interval at the base of the section,"T. E. Williamson and S. G. Lucas. 1993. Paleocene vertebrate paleontology of the San Juan Basin, New Mexico. New Mexico Museum of Natural History Bulletin 2:105-136"
14662,col,Nacimiento,-107.995003,36.3148,Barrel Spring Arroyo (Taeniolabis Zone),,"UCMP V-70180, 70181 (Three Gullies Over); De-na-zin Wash; Fossil Horizon B; KU-NM-03; KUVP Loc. 3; KU-3; KU locality 3",28,Puercan,,66,63.3,3701,"96,522,942,319,312,200,000,000,000,000,000,000,000,000,000,000,000",taxonomic,,,some genera,,,,,,"overlies Ectoconus Zone<br>identical to list 8 of Williamson 1996<br>in a normal paleomag interval that must represent chron 29N because the K-T is in a reversed interval at the base of the section<br>""Acmeodon secans"" of Van Valen 1966 is indeterminate: Williamson and Lucas 1993<br><br>type of ""Ellipsodon witkoi"" Van Valen 1978 is probably NOT Puercan, but provenance is unclear: Williamson and Lucas 1993","R. W. Wilson. 1956. The condylarth genus Ellipsodon. University of Kansas Publications, Museum of Natural History 9(5):105-116"
14663,col,Hell Creek,-106.099998,47.799999,BC Bone-anza,,UCMP V-87040 (in part),2,Puercan,,66,63.3,2255,2255,,,UCMP,,,,,,,,"D. L. Lofgren. 1995. The Bug Creek problem and the Cretaceous-Tertiary transition at McGuire Creek, Montana. University of California Publications in Geological Sciences 140:1-185"
