Formation,Locality,Unit,Member,Section,Group,Magnetozones,Epoch/Age,Zone,Subdivisions,Sediment,Fauna,OtherInfo,Date,Origination Taxa,Identified Interval Citation,Interval Dating Citation
Alcorisa,,,,,,,,MP 27,,,,,,,,https://ucmp.berkeley.edu/miomap/use/age.htm
Alcorisa,,,,,,,,MP 28,,,,,,,,
Alcorisa,,,Noir,,,,,MP 27,,,,,,,,
Alcorisa,,,Noir,,,,,MP 28,,,,,,,,
Aral,,,,,,,,NN5,,,,,,,,
Bannockburn,,,,,Manuherikia,,,Casuarinaceae,,,,,,,,
Barranca De Los Lobos,,,,,,,,Barrancolobian,,,,,,,,
Barranca De Los Lobos,,,,,,,,Marplatense,,,,,,,,
Borgloon,,,,,Tongeren,,,MP 21,,,,,,,,
Borgloon,,,Boutersem Sand,,Tongeren,,,MP 21,,,,,,,,
Bridger,,,,,,,,Br1a,,,,,,,,
Bridger,,,,,,,,Br1b,,,,,,,,
Bridger,,,,,,,,Br2,,,,,,,,
Bridger,,,,,,,,Ui1a,,,,,,,,
Bridger,,,Turtle Bluff,,,,,Ui1a,,,,,,,,
Brule,,,,,White River,,,Oreodon,,,,,,,,
Calcaries De Tàrrega,,,,,,,,Theridomyx major,,,,,,,,
Capo Mannu Dune Complex,,,,,,,,MN 16,,,,,,,,
Capo Mannu Dune Complex,,,D4,,,,,MN 16,,,,,,,,
Carl Creek,,,,,,,,Faunal A,,,,,,,,
Cerro Azul,,,,,,,,Xenodontomys ellipticus,,,,,,,,
Chapadmalal,,,,,,,,Paraglyptodon chapalmalensis,,,,,,,,
Chapadmalal,,,Playa Los Lobos,,,,,Paraglyptodon chapalmalensis,,,,,,,,
Chryssavgi,,,,,Pro-Mygdonia,,,MN 7+8,,,,,,,,
Corca,,,,,,,,MP 8 + 9,,,,,,,,
D’Aigne,,,,,,,,MP 13,,,,,,,,
De Saint Ouen,,,,,,,,MP 16,,,,,,,,
Denver,,,,,,,,Puercan 2,,,,,,,,
Denver,,,,,,,,Puercan 3,,,,,,,,
Detritic Carbonated Of Subirats,,,,,,,,MN 4,,,,,,,,
Eifel,,,,,,,,MP 13,,,,,,,,
El Polvorín,,,,,,,,Vorohuean Age,,,,,,,,
Escanilla,,,,,,,,MP 14,,,,,,,,
Etadunna,,,,,,,,Ditjmanka,,,,,,,,
Etadunna,,,,,,,,Faunal A,,,,,,,,
Faneromeni,,,,,,,,MN 11,,,,,,,,
Fort Union,,,,,Fort Union,,,Cf1,,,,,,,,
Fort Union,,,,,Fort Union,,,Cf3,,,,,,,,
Fort Union,,,,,Fort Union,,,Pu1,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti1,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti3,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti4,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti4a,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti4b,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti5,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti5a,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti5b,,,,,,,,
Fort Union,,,,,Fort Union,,,Ti6,,,,,,,,
Fort Union,,,Overland,,Fort Union,,,Ti1,,,,,,,,
Fort Union,,,Tullock,,Fort Union,,,Pu1,,,,,,,,
Gaverdovski,,,,,,,,MN 9,,,,,,,,
Gonia,,,,,,,,MN 13,,,,,,,,
Gonia,,,Silata,,,,,MN 13,,,,,,,,
Grès Dâ€™Assignan,,,,,Carcassonne,,,MP 8 + 9,,,,,,,,
Hsanda Gol,,,,,,,,A,,,,,,,,
Hsanda Gol,,,,,,,,B,,,,,,,,
Hsanda Gol,,,,,,,,C,,,,,,,,
Hsanda Gol,,,,,,,,C1,,,,,,,,
Keramaria,,,,,,,,MN 5,,,,,,,,
Lagunitas,,,,,,,,Miogypsina - Soriitidae,,,,,,,,
Las Flores,,,,,Rio Chico,,,Itaborian SALMA,,,,,,,,
Lignite,,,,,,,,MP 25,,,,,,,,
Lignite,,,,,,,,MP 26,,,,,,,,
Lignites De Soissonais,,,,,,,,MP 7,,,,,,,,
Loh,,,,,,,,C,,,,,,,,
Loh,,,,,,,,C1,,,,,,,,
Loh,,,,,,,,D,,,,,,,,
Loh,,,,,,,,D11,,,,,,,,
Loh,,,,,,,,E,,,,,,,,
Lower Freshwater Molasse,,,,,Molasse,,,MN 2a,,,,,,,,
Markygialos,,,,,,,,MN 13,,,,,,,,
Molasse De Carcassonne,,,,,,,,MP 10,,,,,,,,
Monte Hermoso,,,,,,,,Eumysops laeviplicatus,,,,,,,,
Monte Hermoso,,,,,,,,Neocavia depressidens,,,,,,,,
Monte Hermoso,,,,,,,,Trigodon gaudryi,,,,,,,,
Mortemer,,,,,Mont-Bernon,,,MP 7,,,,,,,,
Mortemer,,,Calcaire D’Ailly,,Mont-Bernon,,,MP 7,,,,,,,,
Mytilinii,,,,,,,,MN 11,,,,,,,,
Mytilinii,,,Main Bone,,,,,MN 11,,,,,,,,
Nacimiento,,,,,,,,Hemithlaeus kowalevskianus – Taeniolabis taoensis,,,,,,,,
Nacimiento,,,,,,,,To3,,,,,,,,
Nacimiento,,,Ojo Encino,,,,,To3,,,,,,,,
Nawata,,,,,,,,MN 13,,,,,,,,
Nea Messimvria,,,,,,,,MN 10,,,,,,,,
Nea Messimvria,,,,,,,,MN 9,,,,,,,,
Nikiti,,,,,,,,MN 10,,,,,,,,
Olesa-Les Fonts Alluvial System,,,,,,,,MN 9,,,,,,,,
Peñas Coloradas,,,,,Rio Chico,,,Carodnian,,,,,,,,
Perriere,,,,,,,,MP 16,,,,,,,,
Platanochori,,,,,,,,Villafranchian,,,,,,,,
Pomerado,,,,,,,,Tolypeutes pampaeus,,,,,,,,
Pomerado,,,Miramar,,,,,Tolypeutes pampaeus,,,,,,,,
Puerto Belgrano,,,,,,,,Neocavia depressidens,,,,,,,,
Ravenscrag,,,,,,,,Pu1,,,,,,,,
Ravin De Ratavoux,,,,,,,,MN 12,,,,,,,,
Saint-Papoul,,,,,,,,MP 8 + 9,,,,,,,,
Saldungaray,,,,,,,,Xenodontomys ellipticus,,,,,,,,
Saldungaray-La Toma,,,,,,,,Actenomys priscus - Plohophorus cuneiformis,,,,,,,,
San Andres,,,,,,,,Paractenomys chapadmalensis,,,,,,,,
San Andres,,,,,,,,Sanandresian,,,,,,,,
Santa Cruz,,,,,,,,Nitzschia reinholdii,,,,,,,,
Santa Cruz,,,,,,,,Protypotherium australe,,,,,,,,
Santa Cruz,,,Estancia La Costa,,,,,Protypotherium australe,,,,,,,,
Santiago,,,,,,,,Ui3,,,,,,,,
Santiago,,,C,,,,,Ui3,,,,,,,,
Sarmiento,,,,,,,,Barrancan - Mustersan,,,,,,,,
Sarmiento,,,,,,,,Canteran,,,,,,,,
Sarmiento,,,Rosado,,,,,Barrancan - Mustersan,,,,,,,,
Sarmiento,,,Upper Puesto Almendra,,,,,Canteran,,,,,,,,
Sekinobana,,,,,,,,CN4,,,,,,,,
Sense Schichten,,,,,,,,MN 3a,,,,,,,,
Shungura,,,,,Omo,,,Olduvai,,,,,,,,
Shungura,,,G,,Omo,,,Olduvai,,,,,,,,
Silveirinha,,,,,,,,MP 7,,,,,,,,
Silveirinha,,,Rio Mondego,,,,,MP 7,,,,,,,,
Skopi,,,,,,,,MN 11,,,,,,,,
Suffolk Pebble,,,,,,,,MP 7,,,,,,,,
Tudela,,,,,,,,MN 3,,,,,,,,
Tudela,,,,,,,,MN 4; MN 5,,,,,,,,
Tuglu,,,,,,,,MN 11,,,,,,,,
Tulu,,,,,,,,I,,,,,,,,
Upper Freshwater Molasse,,,,,Molasse,,,OSM C + D,,,,,,,,
Upper Freshwater Molasse,,,,,Molasse,,,OSM E,,,,,,,,
Upper Freshwater Molasse,,,Fluviatile Untere Serie,,Molasse,,,OSM E,,,,,,,,
Urumaco,,,,,,,,Xenarthra,,,,,,,,
Urumaco,,,Upper,,,,,Xenarthra,,,,,,,,
Vathylakkos,,,,,,,,MN 12,,,,,,,,
Vaugirard,,,,,,,,MP 8 + 9,,,,,,,,
Villatoro,,,,,,,,MN 7 + 8,,,,,,,,
Vorohué,,,,,,,,Vorohuense,,,,,,,,
Vorohuen,,,,,,,,Akodon (Akodon) lorenzinii,,,,,,,,
Vounargon,,,,,,,,Villafranchian,,,,,,,,
Wasatch,,,,,,,,Wa3,,,,,,,,
Wasatch,,,,,,,,Wa4,,,,,,,,
Wasatch,,,,,,,,Wa6,,,,,,,,
Wasatch,,,,,,,,Wa7,,,,,,,,
Wasatch,,,Main Body,,,,,Wa3,,,,,,,,
Willwood,,,,,,,,Phenacodus - Ectocion,,,,,,,,
Willwood,,,,,,,,Plesiadapis cookei,,,,,,,,
Willwood,,,,,,,,Wa0,,,,,,,,
Willwood,,,Sand Coulee,,,,,Plesiadapis cookei,,,,,,,,
Wite,,,,,,,,Alacoota,,,,,,,,
Woolwich,,,,,,,,Neustrian,,,,,,,,
Woolwich,,,Brixton,,,,,Neustrian,,,,,,,,
Zhangenbao,,,,,,,,MN 6,,,,,,,,
,,,,,Rio Chico,,,Carodnian,,,,,,,,
,,,,,Rio Chico,,,Itaborian SALMA,,,,,,,,
,,,,,White River,,,Oreodon,,,,,,,,
,,,,,Moldavian Platform,,,MN 9,,,,,,,,
,,,,,Tremp,,,MP 6,,,,,,,,
John Day,John Day K1,K1,Turtle Cove,Airport-Roundup Flat,,,,,Deep Creek Tuft-Biotite Tuft,,,,25.9-27.2 Ma,"Prosciurus, Protospermophilus, Paradjidaumo, Entoptychus (Entoptychus basilaris and Entoptychus wheelerensis), Leidymys, and Paciculus; the canid Paraenhydrocyon wallovianus; the amphicyonid Paradaphoenus cuspigerus; the insectivores Ocajila, Proscalops, and Domninoides; the camels Gentilicamelus and Paratylopus; the hypertraglid H. calcaratus; and the oreodonts Hypsiops, Merycochoerus superbus, “Promerycochoerus” macrostegus, Merycoides, and Paroreodon parvus.","Albright III, L.B., Woodburne III, M.O., Fremd III, T.J., Swisher III III, C.C., MacFadden III, B.J. and Scott III, G.R., 2008. Revised chronostratigraphy and biostratigraphy of the John Day Formation (Turtle Cove and Kimberly members), Oregon, with implications for updated calibration of the Arikareean North American Land Mammal Age. The Journal of Geology, 116(3), pp.211-237.",
